profile_ID,DOB,Contact_type,Gender,Pack_ID,Start_Date,Status,Upgradable,Validity_End,Country,State,avg_dur,num_devs,freq_used_dev,Subscription Type,Billing Type,Customer Longevity
vburke,6/25/1993,Email,Agender,432683,5/10/2021,INACTIVE,YES,12/22/2022,India,Nagaland,2005.3333333333333,18,PC/Laptop,3,NetBanking,2
bridgesfrank,9/20/2002,Email,Male,432795,9/3/2021,ACTIVE,NO,12/15/2022,India,Nagaland,1936.1666666666667,12,FireTV,6,NetBanking,3
ysimmons,11/4/1998,Email,Male,432826,5/20/2021,ACTIVE,YES,12/22/2022,India,Nagaland,1809.0,20,FireTV,12,Paytm,4
bcole,7/14/1992,Email,Male,432862,1/11/2022,INACTIVE,NO,12/5/2022,India,Nagaland,2005.1153846153845,26,FireTV,6,NetBanking,3
jessicavalentine,6/14/1992,Email,Male,432877,2/12/2021,INACTIVE,NO,12/31/2022,India,Nagaland,1331.6,20,FireTV,12,Paytm,4
parkdonna,4/26/2006,Email,Female,432982,5/14/2021,INACTIVE,NO,11/18/2022,India,Nagaland,982.5833333333334,12,FireTV,3,NetBanking,2
deanna48,1/31/2006,Email,Male,432983,4/19/2022,INACTIVE,NO,12/22/2022,India,Nagaland,1416.5625,16,PC/Laptop,3,NetBanking,2
alexandrasimmons,11/23/2021,Email,Male,433042,6/22/2021,INACTIVE,NO,11/13/2022,India,Nagaland,1067.6842105263158,19,PC/Laptop,3,NetBanking,2
whiteeric,7/16/1989,Email,Female,433050,4/12/2022,ACTIVE,YES,11/11/2022,India,Nagaland,1954.2222222222222,18,PC/Laptop,3,NetBanking,2
lauren39,3/16/2000,Email,Male,432199,10/13/2022,ACTIVE,YES,12/9/2022,India,Jharkhand,1339.375,16,PC/Laptop,12,Paytm,4
hernandeztodd,7/15/2005,Email,Female,432307,7/31/2021,ACTIVE,NO,11/9/2022,India,Jharkhand,682.6842105263158,19,PC/Laptop,6,NetBanking,3
ihernandez,4/19/1992,Email,Male,432333,9/5/2022,INACTIVE,YES,11/22/2022,India,Jharkhand,1242.3529411764705,16,FireTV,3,NetBanking,2
thompsonrose,5/16/1999,Email,Genderfluid,432384,8/6/2021,ACTIVE,NO,11/19/2022,India,Jharkhand,1673.1666666666667,18,FireTV,1,Paytm,1
patricia12,8/14/2015,Email,Male,432508,10/5/2022,INACTIVE,NO,11/13/2022,India,Jharkhand,1397.5416666666667,24,FireTV,1,Paytm,1
kararoberts,8/23/2002,Email,Female,432784,11/7/2022,INACTIVE,NO,11/10/2022,India,Jharkhand,2024.65,20,iPad,6,NetBanking,3
wagnerdanielle,10/22/2006,Email,Female,432963,12/6/2021,ACTIVE,YES,12/11/2022,India,Jharkhand,1376.2727272727273,11,PC/Laptop,6,NetBanking,3
davidsonshannon,11/29/2021,Email,Male,432968,8/24/2022,INACTIVE,YES,12/10/2022,India,Jharkhand,1553.0555555555557,18,PC/Laptop,12,Paytm,4
wrogers,3/30/1989,Email,Agender,433061,2/18/2022,ACTIVE,NO,12/5/2022,India,Jharkhand,1045.4375,16,PC/Laptop,6,NetBanking,3
robinsoncameron,9/13/1993,Email,Male,433141,5/22/2021,INACTIVE,NO,12/14/2022,India,Jharkhand,1009.0555555555555,18,PC/Laptop,3,NetBanking,2
athompson,6/20/2015,Email,Female,432481,2/27/2021,ACTIVE,YES,11/12/2022,India,Karnataka,991.2380952380952,21,Android TV,3,NetBanking,2
christianstevens,9/20/1992,Email,Male,432625,3/9/2022,ACTIVE,NO,12/15/2022,India,Karnataka,1629.888888888889,18,FireTV,3,NetBanking,2
dawn80,4/12/1993,Email,Female,432697,10/26/2022,ACTIVE,NO,12/20/2022,India,Karnataka,1453.6969696969697,33,Android Phone,12,Paytm,4
masseymichele,3/10/1992,Email,Genderfluid,432901,2/21/2021,INACTIVE,NO,11/11/2022,India,Karnataka,1541.9375,16,PC/Laptop,6,NetBanking,3
valeriebrown,12/17/2021,Email,Non-binary,432928,2/26/2022,INACTIVE,NO,12/29/2022,India,Karnataka,1622.608695652174,23,PC/Laptop,3,NetBanking,2
michaelhicks,3/5/2006,Email,Female,432941,5/23/2021,ACTIVE,YES,12/31/2022,India,Karnataka,909.047619047619,21,FireTV,3,NetBanking,2
christopher50,1/4/1989,Email,Male,433002,1/30/2022,ACTIVE,NO,11/14/2022,India,Karnataka,707.4285714285714,14,PC/Laptop,3,NetBanking,2
markrice,11/9/2021,Email,Male,432236,10/31/2022,INACTIVE,NO,12/3/2022,India,Meghalaya,1810.6315789473683,19,Android Phone,3,NetBanking,2
qhatfield,9/9/1992,Email,Female,432316,3/9/2021,ACTIVE,NO,11/12/2022,India,Meghalaya,1714.2272727272727,22,FireTV,3,NetBanking,2
andreadunn,11/5/2005,Email,Female,432251,5/30/2021,INACTIVE,YES,11/21/2022,India,Rajasthan,1096.6,15,iPad,3,NetBanking,2
fcarter,1/28/1999,Email,Male,432396,10/20/2021,INACTIVE,YES,12/11/2022,India,Rajasthan,1035.8095238095239,21,PC/Laptop,6,NetBanking,3
wday,4/3/1992,Email,Female,432590,8/18/2021,ACTIVE,YES,12/9/2022,India,Rajasthan,985.5555555555555,18,iPhone,6,NetBanking,3
zbrown,10/15/1989,Email,Male,432999,12/15/2021,INACTIVE,YES,11/26/2022,India,Rajasthan,873.3846153846154,26,Android Phone,12,Paytm,4
benjaminfernandez,2/6/1989,Email,Female,433071,2/13/2021,INACTIVE,NO,11/14/2022,India,Rajasthan,1083.0833333333333,12,PC/Laptop,12,Paytm,4
prattcourtney,1/7/1986,Email,Genderqueer,432179,2/19/2021,INACTIVE,NO,12/28/2022,India,Telangana,1162.1363636363637,22,PC/Laptop,3,NetBanking,2
houstonjuan,1/31/2001,Email,Female,432225,9/22/2021,ACTIVE,YES,11/24/2022,India,Telangana,2007.8333333333333,12,PC/Laptop,3,NetBanking,2
vsolis,4/27/2005,Email,Female,432250,2/1/2021,INACTIVE,YES,11/14/2022,India,Telangana,1348.3846153846155,13,PC/Laptop,6,NetBanking,3
cjames,3/21/1992,Email,Female,432335,3/25/2021,ACTIVE,NO,11/25/2022,India,Telangana,1513.2631578947369,19,PC/Laptop,3,NetBanking,2
perkinsmeagan,8/16/2010,Email,Female,432529,10/6/2021,INACTIVE,YES,11/21/2022,India,Telangana,1502.2105263157894,19,Android TV,3,NetBanking,2
nealgregory,2/19/1992,Email,Male,432596,1/17/2022,INACTIVE,YES,12/2/2022,India,Telangana,1292.5,24,Android Phone,3,NetBanking,2
frederickgates,2/5/1992,Email,Female,432598,4/29/2022,INACTIVE,NO,11/27/2022,India,Telangana,1336.75,16,PC/Laptop,1,Paytm,1
jonathanharper,3/26/1992,Email,Female,432659,1/4/2021,ACTIVE,NO,11/30/2022,India,Telangana,1130.3333333333333,15,PC/Laptop,3,NetBanking,2
steven50,6/4/1992,Email,Male,432702,5/14/2021,ACTIVE,NO,11/16/2022,India,Telangana,1434.4347826086957,23,PC/Laptop,3,NetBanking,2
tara02,5/6/2002,Email,Agender,432731,2/20/2022,ACTIVE,YES,11/20/2022,India,Telangana,910.1785714285714,28,FireTV,12,Paytm,4
hmckee,11/25/2021,Email,Male,432833,2/18/2022,INACTIVE,NO,11/21/2022,India,Telangana,1767.3333333333333,21,FireTV,3,NetBanking,2
nbailey,11/10/2021,Email,Male,432969,5/7/2022,INACTIVE,NO,12/3/2022,India,Telangana,1797.05,20,iPad,12,Paytm,4
ileon,5/14/1989,Email,Male,433080,3/31/2022,ACTIVE,YES,12/26/2022,India,Telangana,1446.8333333333333,18,PC/Laptop,6,NetBanking,3
iwhite,12/9/2021,Email,Female,433131,8/10/2021,ACTIVE,NO,11/15/2022,India,Telangana,799.2941176470588,17,PC/Laptop,3,NetBanking,2
ubruce,10/25/2005,Email,Female,432292,9/11/2021,ACTIVE,NO,12/23/2022,India,Tamil Nadu,1413.6842105263158,19,PC/Laptop,12,Paytm,4
vmartinez,4/27/1992,Email,Female,432341,10/4/2021,ACTIVE,NO,12/15/2022,India,Tamil Nadu,908.125,32,FireTV,12,Paytm,4
melanieclark,9/2/2015,Email,Male,432471,11/19/2021,INACTIVE,YES,11/21/2022,India,Tamil Nadu,1075.111111111111,18,FireTV,12,Paytm,4
franklinjustin,11/6/2015,Email,Male,432513,9/20/2021,INACTIVE,YES,12/8/2022,India,Tamil Nadu,1192.4545454545455,21,FireTV,1,Paytm,1
shawn06,7/4/1997,Email,Male,432566,6/13/2021,INACTIVE,NO,11/25/2022,India,Tamil Nadu,720.5909090909091,22,FireTV,12,Paytm,4
robert73,2/22/1991,Email,Male,432636,8/19/2022,ACTIVE,YES,12/20/2022,India,Tamil Nadu,1043.090909090909,11,FireTV,12,Paytm,4
greenluke,7/1/1993,Email,Female,432665,10/11/2021,INACTIVE,NO,12/20/2022,India,Tamil Nadu,1410.2272727272727,22,PC/Laptop,12,Paytm,4
ubrown,4/10/2002,Email,Female,432717,11/26/2021,ACTIVE,YES,11/13/2022,India,Tamil Nadu,1295.0555555555557,18,PC/Laptop,12,Paytm,4
anthony27,10/8/2002,Email,Male,432762,2/25/2021,ACTIVE,NO,12/25/2022,India,Tamil Nadu,1284.8461538461538,13,Android Phone,1,Paytm,1
clarkmarvin,4/22/2002,Email,Female,432767,7/4/2022,INACTIVE,NO,12/16/2022,India,Tamil Nadu,992.8333333333334,18,PC/Laptop,6,NetBanking,3
barrontammy,8/30/2006,Email,Agender,432935,5/28/2022,ACTIVE,YES,11/28/2022,India,Tamil Nadu,1097.7083333333333,24,FireTV,3,NetBanking,2
nlawrence,3/22/1992,Email,Female,433101,11/27/2021,ACTIVE,NO,11/23/2022,India,Tamil Nadu,1284.2631578947369,19,PC/Laptop,12,Paytm,4
meganrandall,12/5/2021,Email,Female,433110,8/12/2021,INACTIVE,YES,12/10/2022,India,Tamil Nadu,853.3333333333334,12,PC/Laptop,1,Paytm,1
chloemartin,9/24/2001,Email,Non-binary,432218,1/22/2021,INACTIVE,NO,12/31/2022,India,Maharashtra,1324.857142857143,21,FireTV,6,NetBanking,3
nwhite,5/27/2001,Email,Bigender,432227,11/12/2022,INACTIVE,NO,11/18/2022,India,Maharashtra,737.0,13,PC/Laptop,12,Paytm,4
scottsusan,2/6/2005,Email,Female,432257,4/27/2021,ACTIVE,YES,11/20/2022,India,Maharashtra,1548.2666666666667,15,PC/Laptop,12,Paytm,4
tuckersarah,9/25/1994,Email,Male,432425,11/17/2022,INACTIVE,YES,11/22/2022,India,Maharashtra,2049.6923076923076,13,PC/Laptop,3,NetBanking,2
charlessanchez,6/3/2015,Email,Female,432470,1/15/2022,INACTIVE,NO,11/10/2022,India,Maharashtra,1869.1,10,Android TV,3,NetBanking,2
monique74,5/5/2015,Email,Genderqueer,432492,1/23/2022,ACTIVE,NO,11/26/2022,India,Maharashtra,1457.65,20,FireTV,1,Paytm,1
jessica53,9/15/2015,Email,Female,432507,12/1/2021,INACTIVE,NO,12/31/2022,India,Maharashtra,1167.0,16,PC/Laptop,12,Paytm,4
rasmussenangela,7/7/2010,Email,Male,432540,5/7/2022,ACTIVE,NO,12/27/2022,India,Maharashtra,1621.2173913043478,23,PC/Laptop,12,Paytm,4
christopherstevens,1/4/1993,Email,Female,432673,6/2/2022,INACTIVE,YES,11/14/2022,India,Maharashtra,1665.7222222222222,18,FireTV,6,NetBanking,3
kimberly91,12/13/2021,Email,Female,432695,8/21/2021,INACTIVE,YES,11/28/2022,India,Maharashtra,1099.7727272727273,22,FireTV,1,Paytm,1
jeremybell,9/2/2002,Email,Male,432768,6/29/2021,ACTIVE,YES,11/22/2022,India,Maharashtra,1430.0,9,Android Phone,3,NetBanking,2
